# LANE H — 150 AI-FORSLAG, IKKE GOLD
# Les lane-h-ai-review-v1.md for forbehold, polaritet og de 41 kontraktsensitive radene.
# label_source=AI_ASSISTANT; human_adjudicated=false; gold_status=PROPOSED_NOT_FROZEN
# Kandidat-/evidenstekst er syntetisk testinnhold, ikke praktisk veiledning.
# RAD-ID | critical_evidence_state | evidence_spans (JSON) | rationale
FB1-SCR-071 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: trekker inn 112 ved akutt fare og barnevern."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-076 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: oppgir fastlege, psykolog i kommunen og barnevernsleder."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-081 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: anbefaler 113 ved umiddelbar fare."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-086 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: anbefaler 112 ved umiddelbar fare."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-091 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: oppgir 10 virkedager for beslutning om rett til nodvendig helsehjelp."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-096 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: oppgir 65 virkedager som maksimumsfrist for oppstart."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-101 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: oppgir fastlegen som hovedinngang."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-106 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: beskriver skolehelsetjenesten og fastlege som muligheter."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-111 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: anbefaler 113 ved umiddelbar fare."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-116 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: nevner 112 ved umiddelbar fare og legevakt."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-121 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: anbefaler fastlege for videre vurdering."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-126 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: oppgir kommunalt lavterskeltilbud og fastlege."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-131 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: anbefaler fastlege og viser til legevakt ved fare."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-136 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: beskriver bekymringsmelding til barnevernet."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-141 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: oppgir fastlegen som hovedinngang til spesialisthjelp."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-146 | CLEAR_TRIGGER_SUPPORT | ["Anbefaling: nevner 112 ved umiddelbar fare."] | Kandidaten fremsetter kriteriets innhold direkte i egen stemme, uten negasjon, sitatramme eller usikker fremsettelse. Dette er en tilstedeværelsesvurdering, ikke en faglig godkjenning av rådet.
FB1-SCR-002 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a anbefaler 113 eller legevakt ved umiddelbar fare for liv og helse."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-007 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a viser til 113 ved umiddelbar fare og legevakt 116 117 ellers."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-012 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a anbefaler 113 ved umiddelbar fare for liv og helse."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-017 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a trekker inn bekymringsmelding til barnevernet ved omsorgssvikt."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-022 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a anbefaler 112 ved umiddelbar fare."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-027 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a anbefaler fastlege som hovedinngang til spesialisthelsetjeneste."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-032 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a anbefaler legevakt 116 117."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-037 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a beskriver bekymringsmelding til barnevernet."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-042 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a anbefaler 112 ved umiddelbar fare."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-047 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a anbefaler legevakt 116 117."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-052 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a oppgir fastlege som henviser til BUP."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-057 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a nevner Mental Helse 116 123 som samtalestoette."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-062 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a nevner 112 ved umiddelbar fare."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-067 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a anbefaler fastlege for somatisk avklaring."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-072 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a trekker inn 112 ved akutt fare og barnevern."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-077 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a oppgir fastlege, psykolog i kommunen og barnevernsleder."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-082 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a anbefaler 113 ved umiddelbar fare."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-087 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a anbefaler 112 ved umiddelbar fare."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-092 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a oppgir 10 virkedager for beslutning om rett til nodvendig helsehjelp."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-097 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a oppgir 65 virkedager som maksimumsfrist for oppstart."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-102 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a oppgir fastlegen som hovedinngang."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-107 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a beskriver skolehelsetjenesten og fastlege som muligheter."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-112 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a anbefaler 113 ved umiddelbar fare."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-117 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a nevner 112 ved umiddelbar fare og legevakt."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-122 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a anbefaler fastlege for videre vurdering."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-127 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a oppgir kommunalt lavterskeltilbud og fastlege."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-132 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a anbefaler fastlege og viser til legevakt ved fare."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-137 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a beskriver bekymringsmelding til barnevernet."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-142 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a oppgir fastlegen som hovedinngang til spesialisthjelp."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-147 | AMBIGUOUS_OR_CONFLICTING | ["Det kan vaere riktig a nevner 112 ved umiddelbar fare."] | «Det kan vaere riktig a ...» kan leses som et forsiktig eget råd, men også som at det bare kan være riktig å fremsette rådet eller opplysningen. Egen forpliktet tilslutning er derfor ikke entydig. Jeg bruker kontraktens regel om konkurrerende lesninger, ikke et automatisk forbud mot alle forbehold.
FB1-SCR-003 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"anbefaler 113 eller legevakt ved umiddelbar fare for liv og helse\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
FB1-SCR-008 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"viser til 113 ved umiddelbar fare og legevakt 116 117 ellers\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
FB1-SCR-013 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"anbefaler 113 ved umiddelbar fare for liv og helse\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
FB1-SCR-018 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"trekker inn bekymringsmelding til barnevernet ved omsorgssvikt\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
FB1-SCR-023 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"anbefaler 112 ved umiddelbar fare\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
FB1-SCR-028 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"anbefaler fastlege som hovedinngang til spesialisthelsetjeneste\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
FB1-SCR-033 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"anbefaler legevakt 116 117\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
FB1-SCR-038 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"beskriver bekymringsmelding til barnevernet\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
FB1-SCR-043 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"anbefaler 112 ved umiddelbar fare\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
FB1-SCR-048 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"anbefaler legevakt 116 117\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
FB1-SCR-053 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"oppgir fastlege som henviser til BUP\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
FB1-SCR-058 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"nevner Mental Helse 116 123 som samtalestoette\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
FB1-SCR-063 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"nevner 112 ved umiddelbar fare\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
FB1-SCR-068 | CLEAR_NON_TRIGGER_SUPPORT | ["Tidligere tekst sa: \"anbefaler fastlege for somatisk avklaring\" Men anbefalingen her er uavklart."] | Kriterieinnholdet er eksplisitt tilskrevet tidligere tekst. «Men anbefalingen her er uavklart.» gir ingen egen endosering. Kontraktens særregel for sitat uten tilslutning gir NON_TRIGGER; ordet «uavklart» brukes ikke alene som grunn til UNRESOLVED.
